"Function"	"A1HF"	"A1LF"	"A2HF"	"A2LF"	"B1HF"	"B1LF"	"B2HF"	"B2LF"	"C1HF"	"C1LF"	"C2HF"	"C2LF"
"methylmalonyl-CoA carboxytransferase activity [GO:0047154]"	3	5	4	7	8	8	6	3	7	2	4	5
"methylmalonyl-CoA epimerase activity [GO:0004493]"	1	1	0	2	1	2	2	2	2	1	1	2
"methylmalonyl-CoA mutase activity [GO:0004494]"	12	18	9	17	12	11	13	15	15	20	18	15
"methylputrescine oxidase activity [GO:0052599]"	0	0	0	0	0	0	1	0	0	0	1	0
"methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase activity [GO:0102036]"	0	1	0	1	1	4	4	2	2	0	0	1
"methylthioadenosine nucleosidase activity [GO:0008930]"	30	35	21	88	45	68	30	68	39	15	40	39
"methylthioribulose 1-phosphate dehydratase activity [GO:0046570]"	0	0	0	2	0	2	0	0	0	1	0	0
"methylthiotransferase activity [GO:0035596]"	63	113	56	210	159	178	123	202	127	67	118	130
"methyltransferase activity [GO:0008168]"	912	1396	753	2586	1750	2075	1184	2466	1546	865	1530	1598
"mevalonate kinase activity [GO:0004496]"	3	0	1	3	4	2	2	5	2	0	1	1
"MHC class I protein binding [GO:0042288]"	0	4	0	1	1	0	3	1	1	3	1	3
"MHC class Ib protein binding [GO:0023029]"	0	2	0	0	1	0	1	0	1	1	0	1
"MHC class Ib protein binding, via antigen binding groove [GO:0023030]"	0	1	0	0	2	0	0	0	0	0	0	0
"MHC class Ib protein complex binding [GO:0023025]"	0	1	0	0	1	0	1	0	1	0	0	0
"MHC class II protein binding [GO:0042289]"	1	0	1	0	1	0	0	0	1	2	2	0
"MHC class II protein complex binding [GO:0023026]"	0	1	0	0	0	0	0	0	0	0	0	0
"MHC protein binding [GO:0042287]"	0	3	0	0	1	0	2	0	1	2	2	1
"microfibril binding [GO:0050436]"	0	0	0	0	0	0	0	0	0	0	0	1
"microfilament motor activity [GO:0000146]"	3	12	3	0	6	0	14	2	5	11	11	13
"microtubule binding [GO:0008017]"	46	461	65	5	186	12	351	80	99	442	377	387
"microtubule minus-end binding [GO:0051011]"	1	2	0	0	1	0	0	0	0	3	1	1
"microtubule motor activity [GO:0003777]"	2	20	1	0	6	1	18	2	2	9	12	8
"microtubule plus end polymerase [GO:0061863]"	0	0	0	0	1	0	0	0	0	1	0	1
"microtubule plus-end binding [GO:0051010]"	3	12	3	0	6	0	9	2	1	12	11	9
"microtubule-severing ATPase activity [GO:0008568]"	0	2	1	0	0	0	2	1	1	3	2	2
"minor groove of adenine-thymine-rich DNA binding [GO:0003680]"	0	0	0	0	0	0	0	0	0	0	0	2
"miRNA binding [GO:0035198]"	2	6	1	0	5	1	12	1	2	6	4	5
"misfolded protein binding [GO:0051787]"	1	5	0	0	1	0	2	0	0	5	3	2
"mismatch base pair DNA N-glycosylase activity [GO:0000700]"	1	2	2	0	2	2	3	1	2	3	1	3
"mismatched DNA binding [GO:0030983]"	314	474	284	805	546	668	413	800	488	273	452	518
"MIT domain binding [GO:0090541]"	0	0	0	0	1	0	0	0	0	0	0	0
"mitochondrial promoter sequence-specific DNA binding [GO:0001018]"	0	0	0	0	0	0	1	0	0	0	0	0
"mitochondrial proton-transporting ATP synthase complex binding [GO:0140260]"	0	0	0	0	0	0	0	0	0	0	2	0
"mitochondrial transcription factor activity [GO:0034246]"	0	0	1	0	0	0	0	0	0	0	0	1
"mitogen-activated protein kinase binding [GO:0051019]"	0	2	1	0	3	0	3	1	1	8	4	6
"mitogen-activated protein kinase kinase binding [GO:0031434]"	0	0	0	0	0	0	0	0	0	1	1	1
"mitogen-activated protein kinase kinase kinase binding [GO:0031435]"	0	1	0	0	0	0	1	0	1	1	1	3
"mitogen-activated protein kinase p38 binding [GO:0048273]"	0	0	0	0	0	0	0	0	0	1	0	1
"Mo-molybdopterin cofactor sulfurase activity [GO:0008265]"	0	0	0	0	0	0	4	0	0	0	0	0
"modification-dependent protein binding [GO:0140030]"	0	0	0	0	0	0	0	0	0	0	1	0
"modified amino acid binding [GO:0072341]"	0	2	0	0	0	0	0	0	0	0	1	1
"molecular adaptor activity [GO:0060090]"	6	49	9	0	25	0	46	5	9	49	48	40
"molybdate ion binding [GO:0030973]"	1	2	1	1	1	1	1	1	1	1	1	1
"molybdate ion transmembrane transporter activity [GO:0015098]"	13	16	12	30	31	25	18	29	19	0	23	11
"molybdenum cofactor guanylyltransferase activity [GO:0061603]"	7	7	4	16	16	14	11	16	10	1	14	6
"molybdenum cofactor sulfurtransferase activity [GO:0102867]"	0	0	0	0	0	0	1	0	0	0	0	0
"molybdenum ion binding [GO:0030151]"	21	19	20	68	47	42	34	49	35	4	33	16
"molybdopterin adenylyltransferase activity [GO:0061598]"	4	7	1	3	7	4	6	5	9	6	8	5
"molybdopterin cofactor binding [GO:0043546]"	57	128	75	340	119	174	228	271	140	59	187	99
"molybdopterin molybdotransferase activity [GO:0061599]"	26	37	27	82	50	58	31	81	60	16	50	37
"molybdopterin synthase activity [GO:0030366]"	1	1	1	1	1	1	1	2	1	1	1	1
"molybdopterin-synthase adenylyltransferase activity [GO:0061605]"	0	1	1	1	1	2	1	2	1	0	1	2
"mono-ADP-D-ribose binding [GO:0072571]"	0	0	0	0	0	0	1	0	1	0	0	0
"monoamine oxidase activity [GO:0097621]"	0	0	0	0	0	0	0	0	0	0	2	0
"monoamine transmembrane transporter activity [GO:0008504]"	0	3	0	1	1	1	3	0	0	3	3	3
"monocarboxylic acid transmembrane transporter activity [GO:0008028]"	0	1	1	0	2	0	0	1	0	1	1	4
"monooxygenase activity [GO:0004497]"	35	94	26	52	63	27	79	60	37	80	85	92
"monosaccharide binding [GO:0048029]"	15	23	12	48	25	34	17	36	22	13	24	21
"monosialoganglioside sialyltransferase activity [GO:0047288]"	0	0	0	0	0	0	0	0	0	0	0	1
"monovalent cation:proton antiporter activity [GO:0005451]"	8	25	5	38	16	38	14	34	12	14	15	24
"morphine 6-dehydrogenase activity [GO:0050109]"	0	1	0	0	1	0	1	1	1	0	0	0
"morphine receptor activity [GO:0038047]"	0	0	0	0	0	0	0	0	0	0	1	0
"motor activity [GO:0003774]"	160	382	145	403	377	288	377	450	285	302	387	438
"MRF binding [GO:0043426]"	0	1	0	0	0	0	4	0	0	0	1	1
"mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity [GO:0016422]"	0	3	2	0	4	1	4	2	0	4	4	6
"mRNA (cytidine-5-)-methyltransferase activity [GO:0062152]"	0	4	0	0	0	0	0	0	2	1	3	4
"mRNA (guanine-N7-)-methyltransferase activity [GO:0004482]"	0	1	0	0	2	0	2	1	0	2	4	2
"mRNA (N6-adenosine)-methyltransferase activity [GO:0001734]"	0	1	0	0	0	0	0	0	0	0	0	0
"mRNA (nucleoside-2'-O-)-methyltransferase activity [GO:0004483]"	2	4	1	0	2	0	1	1	2	2	3	2
"mRNA 3'-UTR AU-rich region binding [GO:0035925]"	0	5	0	0	2	0	3	1	0	7	4	5
"mRNA 3'-UTR binding [GO:0003730]"	2	17	4	1	16	0	23	5	3	18	14	18
"mRNA 5'-UTR binding [GO:0048027]"	25	23	12	57	44	36	28	53	32	18	33	37
"mRNA binding [GO:0003729]"	66	142	45	151	124	129	136	160	97	108	156	134
"mRNA binding involved in posttranscriptional gene silencing [GO:1903231]"	0	1	0	0	0	0	1	0	0	1	0	1
"mRNA cap binding [GO:0098808]"	0	0	0	0	1	0	0	0	0	1	1	1
"mRNA cap binding complex binding [GO:0140262]"	0	2	0	0	0	0	0	0	0	0	3	0
"mRNA CDS binding [GO:1990715]"	0	1	0	0	0	0	0	0	0	1	1	1
"mRNA guanylyltransferase activity [GO:0004484]"	0	12	0	0	1	0	8	3	2	11	6	10
"mu-type opioid receptor binding [GO:0031852]"	0	2	0	0	0	0	0	1	0	0	0	0
"mucinaminylserine mucinaminidase activity [GO:0050110]"	1	0	0	0	0	0	1	0	0	0	0	2
"muconate cycloisomerase activity [GO:0018849]"	0	0	0	0	0	0	1	0	0	0	1	0
"muramyl dipeptide binding [GO:0032500]"	0	0	0	0	0	0	0	0	0	1	0	0
"muscle alpha-actinin binding [GO:0051371]"	0	0	0	0	0	0	0	2	1	1	2	1
"MutLalpha complex binding [GO:0032405]"	0	1	0	0	0	0	4	0	0	1	0	2
"MutSalpha complex binding [GO:0032407]"	0	1	0	0	1	0	5	0	0	2	0	1
"mycothiol-dependent formaldehyde dehydrogenase activity [GO:0050607]"	0	0	0	5	0	1	0	3	0	1	0	0
"myo-inosose-2 dehydratase activity [GO:0050114]"	15	12	10	33	15	35	12	26	16	8	17	17
"myosin binding [GO:0017022]"	0	4	0	0	4	1	8	2	1	8	5	5
"myosin heavy chain binding [GO:0032036]"	0	1	0	0	1	0	0	0	0	0	0	0
"myosin I binding [GO:0017024]"	0	1	0	0	0	0	0	0	0	1	1	0
"myosin II binding [GO:0045159]"	0	4	0	0	2	0	3	0	3	2	6	2
"myosin light chain binding [GO:0032027]"	0	0	0	0	0	0	2	0	1	1	0	2
"myosin light chain kinase activity [GO:0004687]"	2	5	0	0	1	0	1	0	0	2	0	3
"myosin V binding [GO:0031489]"	1	0	1	0	1	0	0	0	0	1	0	0
"myosin VI light chain binding [GO:0070856]"	0	1	1	0	1	0	1	0	1	2	1	1
"myosin-light-chain-phosphatase activity [GO:0050115]"	0	1	0	0	0	0	0	0	0	0	0	0
"myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]"	0	5	0	0	3	1	5	0	1	4	3	3
"N-(long-chain-acyl)ethanolamine deacylase activity [GO:0047412]"	0	0	0	0	0	0	0	0	0	1	0	0
"N-acetyl-beta-D-galactosaminidase activity [GO:0102148]"	63	151	41	141	105	172	96	156	102	89	78	134
"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity [GO:0033842]"	0	1	1	0	0	0	2	1	0	1	4	1
"N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]"	37	53	39	110	75	74	45	107	65	37	59	60
"N-acetyldiaminopimelate deacetylase activity [GO:0050118]"	3	4	3	7	3	3	3	3	3	3	2	3
"N-acetylgalactosamine-6-phosphate deacetylase activity [GO:0047419]"	16	30	16	67	34	61	29	65	31	30	39	45
"N-acetylgalactosamine-6-sulfatase activity [GO:0043890]"	0	0	0	0	1	0	0	0	0	0	1	0
"N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity [GO:0050510]"	0	0	0	2	0	0	0	0	1	0	0	2
"N-acetylglucosamine 6-O-sulfotransferase activity [GO:0001517]"	0	0	0	0	0	0	0	0	0	1	0	2
"N-acetylglucosamine kinase activity [GO:0045127]"	1	3	0	2	1	0	2	0	0	3	2	3
"N-acetylglucosamine transmembrane transporter activity [GO:0015572]"	5	7	3	18	10	13	5	15	9	5	10	7
"N-acetylglucosamine-6-phosphate deacetylase activity [GO:0008448]"	35	82	39	153	75	122	76	157	78	55	84	85
"N-acetylglucosamine-6-sulfatase activity [GO:0008449]"	1	3	1	0	0	0	5	0	1	4	4	2
"N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity [GO:0050509]"	0	0	0	0	1	0	0	1	0	0	0	0
"N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity [GO:0004577]"	0	1	0	0	0	0	0	0	0	0	0	0
"N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase activity [GO:0047244]"	10	15	7	43	17	27	12	37	18	7	15	17
"N-acetylglucosaminylinositol deacetylase activity [GO:0035595]"	0	0	1	0	0	0	0	0	1	0	0	0
"N-acetylglucosaminylphosphatidylinositol deacetylase activity [GO:0000225]"	0	0	0	1	0	1	1	0	1	2	1	0
"N-acetyllactosamine synthase activity [GO:0003945]"	0	0	0	0	0	0	0	0	0	0	1	0
"N-acetyllactosaminide 3-alpha-galactosyltransferase activity [GO:0047276]"	1	0	1	0	1	0	1	0	1	0	1	0
"N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]"	205	324	195	701	416	582	267	684	344	171	324	380
"N-acetylneuraminate lyase activity [GO:0008747]"	2	6	2	7	2	11	3	6	2	1	2	5
"N-acetylneuraminate synthase activity [GO:0050462]"	4	11	2	22	9	18	8	13	7	4	7	10
"N-acetylphosphatidylethanolamine-hydrolysing phospholipase activity [GO:0102200]"	0	1	0	0	0	0	1	0	0	0	0	2
"N-acetyltransferase activity [GO:0008080]"	748	900	542	2326	1316	1752	891	2086	1150	543	1049	1111
"N-acyl-D-amino-acid deacylase activity [GO:0047420]"	1	0	0	6	1	1	0	3	3	1	2	3
"N-acyl-D-glutamate deacylase activity [GO:0047421]"	0	1	0	3	0	3	1	1	0	2	1	2
"N-acylglucosamine 2-epimerase activity [GO:0050121]"	0	0	0	2	0	1	1	2	0	0	0	0
"N-acylglucosamine-6-phosphate 2-epimerase activity [GO:0047465]"	12	20	7	47	20	39	9	41	19	8	16	21
"N-acylmannosamine kinase activity [GO:0009384]"	0	2	0	1	1	1	0	2	1	0	0	1
"N-acylmannosamine-6-phosphate 2-epimerase activity [GO:0009385]"	12	20	7	47	20	39	9	40	19	7	16	21
"N-acylneuraminate cytidylyltransferase activity [GO:0008781]"	4	4	3	8	9	9	10	7	11	4	13	8
"N-acylneuraminate-9-phosphate synthase activity [GO:0047444]"	0	0	0	0	0	1	0	1	0	0	0	0
"N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]"	0	15	0	1	5	3	6	2	0	3	5	10
"N-acylsphingosine amidohydrolase activity [GO:0017040]"	1	2	0	0	2	0	4	1	1	4	3	3
"N-acyltransferase activity [GO:0016410]"	15	17	11	20	23	20	14	27	17	15	14	20
"N-box binding [GO:0071820]"	0	0	0	0	1	0	2	0	0	1	0	1
"N-carbamoyl-D-amino acid hydrolase activity [GO:0047417]"	2	1	1	6	2	3	2	3	2	4	1	4
"N-carbamoyl-L-amino-acid hydrolase activity [GO:0050538]"	1	0	2	3	4	1	1	1	3	0	2	4
"N-carbamoylputrescine amidase activity [GO:0050126]"	2	5	1	11	4	4	4	4	5	6	1	2
"N-carbamoylsarcosine amidase activity [GO:0050127]"	0	1	0	2	1	2	1	1	0	0	0	1
"N-formyl peptide receptor activity [GO:0004982]"	0	2	0	0	1	0	0	0	0	0	0	0
"N-formylglutamate deformylase activity [GO:0050129]"	0	0	1	0	0	0	0	0	0	0	0	0
"N-isopropylammelide isopropylaminohydrolase activity [GO:0018764]"	0	0	0	0	0	0	0	1	0	0	0	0
"N-methylhydantoinase (ATP-hydrolyzing) activity [GO:0047423]"	1	0	0	0	0	1	0	0	0	0	2	0
"N-methyltransferase activity [GO:0008170]"	432	529	360	1000	711	808	504	973	627	281	626	651
"N-retinylidene-phosphatidylethanolamine flippase activity [GO:0140347]"	0	1	0	0	0	0	0	1	0	0	0	0
"N-sulfoglucosamine sulfohydrolase activity [GO:0016250]"	1	1	0	0	0	0	0	0	0	0	1	1
"N-terminal myristoylation domain binding [GO:0031997]"	0	0	0	0	0	0	0	0	0	1	0	0
"N,N-dimethylaniline monooxygenase activity [GO:0004499]"	4	7	2	0	3	0	5	0	2	3	4	7
"N,N'-diacetylbacilliosaminyl-1-phosphate transferase activity [GO:0102334]"	2	3	0	4	1	3	1	4	2	1	0	2
"N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase activity [GO:0102335]"	3	3	2	3	3	2	2	3	3	2	3	2
"N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]"	58	74	50	152	107	130	77	165	77	39	92	90
"N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]"	29	43	28	100	54	55	30	82	43	13	53	47
"N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity [GO:0003948]"	0	1	0	2	0	0	0	0	0	0	2	3
"N5-(carboxyethyl)ornithine synthase activity [GO:0047126]"	0	0	0	0	0	0	0	1	0	0	0	0
"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]"	46	70	42	146	91	112	57	142	72	36	81	81
"N6-(Delta2-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase activity [GO:0102682]"	2	1	2	2	2	4	2	1	1	1	2	1
"N6-isopentenyladenosine methylthiotransferase activity [GO:0035597]"	0	0	0	0	0	0	0	0	0	1	0	1
"N6-methyladenosine-containing RNA binding [GO:1990247]"	0	3	0	0	1	0	2	0	0	1	2	2
"N6-threonylcarbomyladenosine methylthiotransferase activity [GO:0035598]"	20	22	14	65	38	61	24	52	29	12	26	33
"NAADP-sensitive calcium-release channel activity [GO:0072345]"	1	3	0	0	2	0	2	1	0	3	1	4
"NAD binding [GO:0051287]"	678	1085	603	1981	1282	1518	955	1838	1155	668	1186	1194
"NAD DNA ADP-ribosyltransferase activity [GO:0140294]"	0	2	2	0	0	0	1	0	1	0	2	1
"NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]"	4	23	3	0	12	0	15	2	4	17	13	20
"NAD-dependent histone deacetylase activity (H4-K16 specific) [GO:0046970]"	0	0	0	0	0	0	0	0	0	1	0	0
"NAD-dependent histone deacetylase activity [GO:0017136]"	0	2	0	0	0	0	3	0	0	1	1	1
"NAD-dependent protein deacetylase activity [GO:0034979]"	23	29	18	81	56	60	30	80	43	19	35	38
"NAD(P)+ nucleosidase activity [GO:0050135]"	0	1	1	0	1	0	2	0	0	1	4	3
"NAD(P)+ transhydrogenase (AB-specific) activity [GO:0008750]"	1	3	1	1	3	1	1	1	3	1	3	1
"NAD(P)+ transhydrogenase (B-specific) activity [GO:0003957]"	0	1	0	2	1	0	0	0	0	0	0	0
"NAD(P)+ transhydrogenase activity [GO:0008746]"	0	1	0	0	1	1	0	0	1	0	0	0
"NAD(P)H dehydrogenase (quinone) activity [GO:0003955]"	0	0	0	0	0	1	0	0	0	0	0	0
"NAD(P)H oxidase H2O2-forming activity [GO:0016174]"	0	3	0	0	1	0	1	1	1	1	4	2
"NAD+ ADP-ribosyltransferase activity [GO:0003950]"	26	238	21	44	75	32	142	54	44	189	160	103
"NAD+ binding [GO:0070403]"	106	141	83	268	203	217	131	294	188	93	167	182
"NAD+ diphosphatase activity [GO:0000210]"	10	15	9	21	14	28	12	30	16	7	13	18
"NAD+ kinase activity [GO:0003951]"	111	160	76	298	199	226	134	281	164	98	166	173
"NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]"	0	1	1	0	1	0	2	0	0	1	4	3
"NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]"	72	96	64	180	124	142	86	201	108	60	108	122
"NAD+ synthase activity [GO:0008795]"	63	77	57	157	108	121	70	171	93	49	96	100
"NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]"	2	1	0	3	2	3	3	1	0	0	0	2
"NADH dehydrogenase (quinone) activity [GO:0050136]"	22	21	15	35	19	29	19	37	19	17	22	26
"NADH dehydrogenase (ubiquinone) activity [GO:0008137]"	120	179	107	325	202	239	141	303	206	104	199	179
"NADH dehydrogenase activity [GO:0003954]"	3	5	3	4	3	10	2	9	1	1	2	4
"NADH oxidase H202-forming activity [GO:0106293]"	2	8	2	0	4	1	12	1	4	8	8	11
"NADH peroxidase activity [GO:0016692]"	7	19	10	35	10	32	7	29	15	10	11	16
"NADH pyrophosphatase activity [GO:0035529]"	31	43	31	97	60	73	44	86	52	32	50	42
"NADHX epimerase activity [GO:0052856]"	39	59	29	128	78	91	57	111	79	33	68	71
"NADP binding [GO:0050661]"	338	480	312	940	589	731	412	846	525	259	501	503
"NADP-retinol dehydrogenase activity [GO:0052650]"	0	8	2	0	1	0	3	0	2	5	7	6
"NADP+ binding [GO:0070401]"	20	50	22	79	46	66	32	63	46	30	36	51
"NADP+-protein-arginine ADP-ribosyltransferase activity [GO:0106275]"	2	1	0	3	2	3	3	1	0	0	0	2
"NADPH binding [GO:0070402]"	39	63	45	129	80	88	55	114	68	29	75	70
"NADPH dehydrogenase (quinone) activity [GO:0008753]"	0	0	0	0	0	0	0	1	0	0	0	0
"NADPH dehydrogenase activity [GO:0003959]"	2	2	3	8	6	5	3	5	2	1	3	2
"NADPH oxidase H202-forming activity [GO:0106294]"	3	11	2	0	4	1	12	1	4	8	9	13
"NADPH-adrenodoxin reductase activity [GO:0015039]"	0	0	1	0	0	0	0	2	0	1	0	1
"NADPH-hemoprotein reductase activity [GO:0003958]"	0	4	0	0	1	0	3	0	0	3	4	2
"NADPH:sulfur oxidoreductase activity [GO:0043914]"	1	6	0	0	5	0	4	0	1	3	4	4
"NADPHX epimerase activity [GO:0052857]"	39	59	29	128	78	91	57	111	79	33	68	71
"natriuretic peptide receptor activity [GO:0016941]"	0	2	0	0	1	0	1	0	0	0	2	2
"natural killer cell lectin-like receptor binding [GO:0046703]"	0	0	0	0	0	0	1	0	0	0	0	0
"NEDD8 activating enzyme activity [GO:0019781]"	0	4	0	1	1	0	4	1	1	3	4	4
"NEDD8 ligase activity [GO:0061663]"	0	0	0	0	0	0	0	0	0	0	1	0
"NEDD8 transferase activity [GO:0019788]"	0	0	0	0	0	0	1	0	0	0	0	0
"NEDD8-specific protease activity [GO:0019784]"	0	1	1	0	0	0	1	0	0	1	2	2
"neopullulanase activity [GO:0031216]"	7	5	5	20	16	18	8	16	12	6	7	8
"nerve growth factor binding [GO:0048406]"	0	3	0	0	0	0	1	0	0	1	2	0
"nerve growth factor receptor activity [GO:0010465]"	0	2	0	0	0	0	0	0	0	1	0	0
"netrin receptor activity [GO:0005042]"	2	18	4	0	12	0	14	4	4	27	16	20
"netrin receptor binding [GO:1990890]"	0	1	0	0	1	0	0	0	0	0	0	0
"neuregulin binding [GO:0038132]"	0	3	2	0	1	0	3	0	0	3	2	2
"neuregulin receptor activity [GO:0038131]"	0	1	0	0	1	0	0	0	0	0	0	1
"neurexin family protein binding [GO:0042043]"	2	12	1	0	6	0	13	5	2	12	4	15
"neurohypophyseal hormone activity [GO:0005185]"	0	0	0	0	1	0	0	0	3	0	1	2
"neuroligin family protein binding [GO:0097109]"	0	1	0	0	0	0	0	0	0	0	0	0
"neuromedin U receptor activity [GO:0001607]"	0	0	0	0	0	0	0	0	0	1	1	0
"neuromedin U receptor binding [GO:0042922]"	0	0	0	0	0	0	1	0	0	0	0	0
"neuropeptide binding [GO:0042923]"	0	1	0	0	1	0	1	0	0	1	1	1
"neuropeptide hormone activity [GO:0005184]"	1	4	0	0	3	0	2	1	0	1	1	2
"neuropeptide receptor activity [GO:0008188]"	0	7	0	0	5	0	3	1	3	3	4	3
"neuropeptide Y receptor activity [GO:0004983]"	0	1	1	0	3	0	4	1	1	2	0	2
"neurotensin receptor activity, non-G protein-coupled [GO:0030379]"	0	2	0	0	0	0	0	0	0	1	0	0
"neurotransmitter binding [GO:0042165]"	0	1	0	0	0	0	0	0	0	1	2	1
"neurotransmitter receptor activity [GO:0030594]"	0	1	0	0	4	1	6	1	1	3	4	4
"neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099529]"	0	0	0	0	0	0	1	0	0	0	0	0
"neurotransmitter transmembrane transporter activity [GO:0005326]"	0	2	0	0	1	0	3	0	1	3	1	4
"neurotransmitter:sodium symporter activity [GO:0005328]"	0	1	0	0	0	0	0	0	0	0	0	1
"neurotrophin receptor activity [GO:0005030]"	0	5	0	0	4	0	7	3	0	4	4	8
"neurotrophin receptor binding [GO:0005165]"	0	1	0	0	2	0	2	0	0	0	1	0
"neurotrophin TRKA receptor binding [GO:0005168]"	0	2	0	0	0	0	2	0	1	2	2	1
"neutral amino acid transmembrane transporter activity [GO:0015175]"	0	0	0	0	0	0	0	0	0	1	0	0
"NF-kappaB binding [GO:0051059]"	0	5	1	0	3	0	1	0	1	4	5	4
"NF-kappaB-inducing kinase activity [GO:0004704]"	0	0	0	0	0	0	0	0	0	0	1	1
"NFAT protein binding [GO:0051525]"	0	1	0	0	0	0	0	0	1	0	0	0
"nickel cation binding [GO:0016151]"	58	107	63	231	130	167	82	177	127	38	135	85
"nicotianamine synthase activity [GO:0030410]"	0	0	0	0	0	0	0	1	0	0	0	0
"nicotinamidase activity [GO:0008936]"	2	1	1	4	2	2	3	6	2	1	1	2
"nicotinamide phosphoribosyltransferase activity [GO:0047280]"	0	0	0	1	0	0	0	0	0	0	0	1
"nicotinamide riboside transmembrane transporter activity [GO:0034257]"	7	14	5	38	13	29	12	28	12	9	12	14
"nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]"	3	2	2	3	2	2	6	3	5	3	1	7
"nicotinamide-nucleotide amidase activity [GO:0019159]"	1	1	1	2	1	1	1	2	1	1	1	1
"nicotinate dehydrogenase activity [GO:0050138]"	5	4	2	16	11	3	9	11	6	2	5	5
"nicotinate phosphoribosyltransferase activity [GO:0004516]"	52	86	39	172	91	116	61	159	78	35	80	95
"nicotinate-nucleotide adenylyltransferase activity [GO:0004515]"	41	50	30	108	72	76	45	106	63	24	49	62
"nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]"	67	108	55	202	115	147	82	191	104	46	100	115
"nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity [GO:0008939]"	23	18	28	51	46	40	27	50	42	12	42	23
"nitrate reductase (cytochrome) activity [GO:0050140]"	1	1	2	3	1	1	3	3	1	0	1	1
"nitrate reductase activity [GO:0008940]"	10	12	7	11	6	10	11	12	9	5	10	9
"nitrate transmembrane transporter activity [GO:0015112]"	0	0	0	0	1	0	0	0	0	1	0	0
"nitric oxide binding [GO:0070026]"	0	1	0	0	0	0	1	0	0	0	0	0
"nitric oxide dioxygenase activity [GO:0008941]"	1	5	1	5	1	7	2	7	1	3	1	5
"nitric-oxide synthase activity [GO:0004517]"	0	13	1	0	4	0	10	5	4	11	10	17
"nitric-oxide synthase binding [GO:0050998]"	0	1	1	0	0	0	0	0	0	1	0	1
"nitric-oxide synthase inhibitor activity [GO:0036487]"	0	0	0	0	0	0	0	0	0	1	0	0
"nitric-oxide synthase regulator activity [GO:0030235]"	0	0	0	0	1	0	1	0	0	0	0	0
"nitrite reductase (cytochrome, ammonia-forming) activity [GO:0042279]"	4	10	5	11	7	6	7	10	5	8	8	6
"nitrite reductase (NO-forming) activity [GO:0050421]"	0	0	0	0	1	0	0	0	0	1	1	1
"nitrite reductase [NAD(P)H] activity [GO:0008942]"	0	0	0	0	0	0	1	0	0	0	0	0
"nitrogenase activity [GO:0016163]"	1	0	1	3	1	2	1	3	2	0	2	1
"nitronate monooxygenase activity [GO:0018580]"	51	73	46	142	88	114	53	141	85	25	76	62
"nitrous-oxide reductase activity [GO:0050304]"	1	4	1	1	1	1	4	1	1	2	1	2
"NMDA glutamate receptor activity [GO:0004972]"	0	2	0	0	0	0	2	2	1	4	3	2
"nociceptin receptor activity [GO:0001626]"	1	3	0	0	0	0	2	0	0	1	1	1
"non-membrane spanning protein tyrosine kinase activity [GO:0004715]"	18	66	20	26	59	29	73	43	38	84	66	67
"non-membrane spanning protein tyrosine phosphatase activity [GO:0004726]"	0	2	0	0	1	1	4	0	0	4	2	2
"non-sequence-specific DNA binding, bending [GO:0044378]"	0	0	0	0	2	0	1	0	0	1	1	0
"norepinephrine:sodium symporter activity [GO:0005334]"	0	0	0	0	0	0	0	0	0	0	0	1
"Notch binding [GO:0005112]"	0	6	1	0	4	0	9	3	2	9	3	7
"nuclear export signal receptor activity [GO:0005049]"	0	17	3	0	10	0	13	5	2	16	8	11
"nuclear hormone receptor binding [GO:0035257]"	0	8	0	0	7	0	11	0	2	11	7	8
"nuclear import signal receptor activity [GO:0061608]"	3	24	3	2	12	0	19	7	9	18	12	13
"nuclear localization sequence binding [GO:0008139]"	0	1	0	1	3	0	4	0	2	7	3	2
